,Real Entropy,RoG,Jump (median),Num_of_loc,Num_of_days,Frequency (top1),Random Entropy,RoG k2,RoG k4,RoG k8,Median from Home
0,1.4353279030092814,975.137981230854,5554.042110975101,4,29 days 22:02:30,0.8501971024584615,2.0,1032.2928565177865,975.137981230854,975.137981230854,5554.042110975101
1,1.3344414338433117,997.84353560736,4748.349909229314,4,29 days 20:06:20,0.8578836918827919,2.0,756.0544001411612,997.84353560736,997.84353560736,4748.349909229314
2,1.6737088557507347,1148.1175609851684,6021.030258485052,7,29 days 04:56:27,0.6303044281356763,2.807354922057604,1256.313755916114,1200.8299597418868,1148.1175609851684,6021.030258485052
3,1.939571373882615,4770.088789720885,19318.10287699918,9,27 days 19:40:48,0.792145522139681,3.169925001442312,5673.23671981356,5313.531386850229,4822.775084843825,19318.10287699918
4,1.310098963626882,6352.754928898105,6947.376053509473,6,29 days 20:40:37,0.5982673891886047,2.584962500721156,1194.9339478966288,6486.282993358696,6352.754928898105,31589.872029205653
8,2.2174700395364013,295.95062110323266,2365.378042587717,12,29 days 23:29:24,0.9428646216996298,3.584962500721156,59.0692144903222,112.88814187528116,313.5246764737523,2365.378042587717
9,2.3207920313381534,988.9742930680242,9120.543127645087,10,29 days 23:15:17,0.9218967781851352,3.321928094887362,1158.706289628909,1079.0851912949347,1025.4881044061676,9032.935320906668
10,1.9566867897041609,1922.8904476794,3338.9434215657307,8,29 days 16:33:13,0.8064032608852433,3.0,233.4729167312284,2051.09247990848,1922.8904476794,3402.119369959385
11,2.7446561605864512,370.1423731619529,3793.243570620613,20,29 days 23:51:42,0.9053795829599978,4.321928094887363,39.14535385905036,380.1410436226168,361.8884743490223,4427.358661848574
12,1.8764662506490404,666.4906134165124,1493.3068405495476,6,29 days 22:47:29,0.9005197381870571,2.584962500721156,220.8364677260433,729.9036238998323,666.4906134165124,1493.3068405495476
13,2.461951855272997,225.13558241924449,2028.0356849338448,19,29 days 23:39:39,0.8852345182665137,4.247927513443585,101.901505691781,234.5022329965736,233.55603055211844,2896.29567265819
